travfreq,aircrew,empl,jobsat1,jobsat2,jobsat3,roleover1,roleover2,roleover3,workadj1,workadj2,workadj3,workadj4,workadj5,workadj6,workadj7,workadj8,workadj9,turnover1,turnover2,turnover3,wneglect1,wneglect2,wneglect3,wneglect4,wneglect5,wneglect6,wsitcon1,wsitcon2,wsitcon3,wsitcon4,wrclar1,wrclar2,wrclar3,wrclar4,wrclar5,wrclar6,wtimepres1,wtimepres2,wtimepres3,wtimepres4,wnovel1,wnovel2,wnovel3,wnovel4,wcowinsexphelp 1,wcowinsexphelp 2,wcowinsexphelp 3,wcowinsexphelp 4,wroleconflict 1,wroleconflict 2,wroleconflict 3,wintconflictd 1,wintconflictd 2,wintconflictd 3,wintconflictd 4,wintconflictf 1,wintconflictf 2,wintconflictf 3,wemotdem 1,wemotdem 2,wemotdem 3,wemotdem 4,wemotdem 5,wpeopresp1,wpeopresp2,wpeopresp3,wpeopresp4,wpeopresp5,wallcowexp1,wallcowexp2,wallcowexp3,wallcowexp4,wallcowexp5,wallcowexp6,wallcowexp7,wallcowexp8,wallcowexp9,wallcowexp10,wallcowexp11,wallcowexp12,cowint,cowdep,wteams,wcom,,fsat1,fsat2,fsat3,fneglect1,fneglect2,fneglect3,fneglect4,fneglect5,fneglect6,fadj1,fadj2,fadj3,fadj4,fadj5,fadj6,fadj7,fadj8,fadj9,wfc1,wfc2,wfc3,wfc4,wfc5,ftimepres1,ftimepres2,ftimepres3,ftimepres4,check2,faminstexp1,faminstexp2,faminstexp3,faminstexp4,femotdem1,femotdem2,femotdem3,femotdem4,froleover1,froleover2,froleover3,froleconf1,froleconf2,froleconf3,fintconfd1,fintconfd2,fintconfd3,fintconfd4,fintconff1,fintconff2,fintconff3,famallexp1,famallexp2,famallexp3,famallexp4,famallexp5,famallexp6,famallexp7,famallexp8,famallexp9,famallexp10,famallexp11,famallexp12,burn1,burn2,burn3,burn4,burn5,burn6,burn7,burn8,burn9,burn10,burn11,burn12,burn13,burn14,burn15,burn16,burn17,burn18,burn19,burn20,burn21,supsup1,cowsup1,parsup1,famsup1,supsup2,cowsup2,parsup2,famsup2,supsup3,cowsup3,parsup3,famsup3,supsup4,cowsup4,parsup4,famsup4,cogflex1,cogflex2,cogflex3,cogflex4,cogflex5,cogflex6,cogflex7,cogflex8,cogflex9,cogflex10,cogflex11,cogflex12,houswork,childwork,marstat,children,whours,tenure,position,education,gender,age,industry,otherindustry,nationality,residence,lang,feeltravel,yearstravel,numbertravel,daysknowtravel,meettravel,flytravel,countrytravel,daystrip,reasontrip,otherreasontrip,weekendtrip
3,,1,4,4,4,3,2,2,5,5,2,3,5,3,3,5,5,3,2,2,1,3,1,1,1,1,2,2,2,2,4,4,4,3,5,4,2,4,2,4,5,5,5,5,5,5,5,5,1,1,5,1,5,5,1,5,3,5,5,5,5,3,2,4,6,6,4,6,4,4,4,4,4,4,4,4,4,4,4,4,>5,>3,4,2,survey,4,4,4,5,5,5,3,5,5,4,4,1,4,3,3,3,3,5,3,4,3,4,3,5,3,3,3,5,5,5,5,5,2,3,3,3,5,2,5,5,2,5,1,1,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,1,5,5,6,4,4,6,5,1,1,6,1,1,3,1,3,5,6,7,2,2,2,3,4,4,4,1,4,4,2,3,4,4,4,2,4,4,2,1,4,1,4,5,5,5,1,5,5,5,40+,1,1,40+,7,3,2,2,25,13,healthcare,American,USA,Spanish,3,3,2,14,5,1,Usa Central america,3,4,,1
3,,1,4,4,4,3,3,4,4,4,4,3,4,5,5,4,4,3,2,2,2,2,1,1,1,2,3,4,4,2,3,4,4,4,4,3,3,3,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,4,4,3,4,4,3,4,4,4,5,5,4,5,5,4,4,5,5,3,4,5,5,5,5,5,4,20,50,3,5,survey,4,4,4,3,3,2,2,1,1,3,3,4,4,4,3,4,4,3,4,4,4,4,4,3,4,3,4,5,4,5,4,4,4,4,3,4,3,4,2,4,2,4,3,3,4,3,4,4,4,4,4,5,4,5,5,5,5,4,5,4,3,4,4,5,6,6,6,5,5,4,3,4,4,5,4,4,4,3,4,4,4,5,2,3,4,3,2,3,4,3,2,3,3,2,2,3,4,3,3,3,3,4,2,4,4,4,4,2,3,4,20,30,1,2,35,4,2,3,2,44,7,,Greek,USA,Greek,2,2,1,7,5,2,"Canada, England, China",5,1,,3
4,,1,4,3,5,3,2,3,1,3,4,1,1,2,3,3,4,4,4,4,2,4,3,3,2,2,4,2,2,3,4,4,3,2,1,2,3,4,4,4,2,3,3,3,3,4,4,4,2,2,2,3,2,4,2,3,3,2,1,2,3,3,2,1,3,5,4,3,4,2,3,3,2,4,4,3,2,3,4,4,10,10,1,1,survey,2,2,3,1,3,3,2,3,3,1,2,2,3,2,2,2,3,3,4,3,3,2,3,4,4,4,4,5,2,2,4,4,5,2,2,3,1,1,2,1,3,2,3,2,4,3,3,4,2,1,2,4,3,2,3,4,2,2,4,4,3,2,1,2,3,3,4,3,4,2,3,3,4,2,2,3,2,3,2,1,1,3,2,3,2,3,1,2,3,2,2,2,4,2,1,2,2,3,2,3,4,2,3,4,4,4,3,2,2,1,5,10,2,0,40,10,4,3,1,32,13,Music,Latino,US,Spanish,1,10,2,10,2,3,"Japan, Toyko",5,1,,3
3,,1,5,5,5,5,1,1,5,5,5,4,5,5,5,5,5,1,1,1,1,1,1,1,1,1,4,5,5,5,5,4,4,4,4,5,5,4,4,5,5,5,5,5,4,5,5,5,1,4,4,1,1,1,2,1,2,3,3,5,4,2,2,4,5,5,5,4,1,5,5,5,3,4,3,3,1,5,4,4,20,15,not sure,n/a,survey,4,4,4,5,5,1,1,1,1,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,3,3,5,5,5,5,5,5,5,2,1,1,3,4,2,3,4,4,1,2,1,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,6,3,6,4,2,6,2,1,1,2,3,2,2,7,1,1,2,2,7,7,2,4,4,4,4,4,4,4,3,3,3,4,4,2,2,4,4,5,3,2,4,4,4,5,5,5,2,4,5,8,10,1,1,40,2,3,5,2,32,13,IT,USC,USA,none,1,0.5,0,30,2,1,domestic,3,4,,3
3,,1,4,3,4,3,2,4,3,5,4,4,3,5,4,4,3,4,3,4,3,4,5,4,3,3,3,3,4,2,4,4,3,4,3,2,3,4,2,3,4,4,3,5,4,3,3,2,2,4,3,2,3,2,2,3,1,2,2,3,3,2,4,3,5,4,5,4,4,3,3,2,3,4,4,2,3,3,4,4,15,6,2,1,survey,4,5,4,3,5,4,4,3,3,4,3,5,3,3,4,2,3,3,3,4,4,5,3,3,2,4,4,5,4,4,5,3,3,4,2,3,2,4,3,4,3,3,2,3,2,2,3,2,2,3,4,3,3,2,4,3,4,4,2,3,3,3,4,2,3,3,4,5,4,4,2,5,5,4,4,3,5,6,3,3,4,2,3,2,2,3,2,3,3,4,3,2,2,3,2,1,3,3,4,3,2,4,4,3,4,5,3,3,2,4,2,0,2,0,42,3,3,3,1,29,4,,american,usa,korean,3,2,2,5,4,2,"korea, france, japan",6,2,,1
3,,1,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,3,2,3,2,3,2,1,1,1,1,1,1,1,5,5,5,4,5,5,1,1,1,1,1,1,1,1,2,5,1,2,1,1,1,1,1,1,1,2,1,2,5,5,2,1,1,4,1,4,1,1,5,5,5,5,5,5,5,5,5,5,5,5,11,2,2,1,survey,5,5,5,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,2,1,7,2,2,7,1,1,1,1,1,1,1,1,1,1,1,1,7,7,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,1,1,5,1,5,5,5,5,1,5,5,15,40,1,3,40,4,2,3,2,33,13,sal,white,usa,none,1,2,1,14,5,2,toyko,3,4,,1
4,,1,4,5,5,2,2,2,5,5,5,5,5,5,5,5,5,2,2,3,1,1,1,1,1,1,2,2,2,2,4,4,4,4,4,4,2,2,5,2,1,1,1,2,2,5,2,2,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,4,5,3,1,3,3,4,3,3,3,3,3,3,3,3,55,15,1,1,survey,5,5,5,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,5,2,3,2,2,5,1,1,1,1,5,2,1,1,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,1,6,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,7,7,1,3,3,4,2,3,4,4,3,3,3,4,2,3,3,4,3,5,1,1,5,1,5,5,5,4,1,4,5,6,9,1,4,45,3,2,2,2,35,9,,black,united states,none,1,7,2,5,3,2,"asia,europe,canada",7,4,,1
5,,1,5,5,5,3,1,1,5,5,4,5,4,1,4,3,3,1,1,1,1,4,1,2,1,1,4,3,4,3,5,5,5,5,5,5,1,3,3,3,5,3,3,1,1,4,5,5,3,3,4,4,3,3,3,3,3,4,5,4,5,3,3,6,6,6,1,1,4,5,5,5,4,4,5,3,5,4,4,4,4,0,1,0,survey,5,5,5,1,4,2,1,3,2,5,5,5,5,5,5,5,5,5,5,5,4,3,5,2,4,4,4,5,1,2,4,5,4,2,2,2,4,3,4,4,1,3,1,1,1,1,2,2,2,4,5,5,5,3,4,5,3,5,4,4,4,6,2,5,6,2,6,6,5,2,6,2,1,2,2,2,2,2,2,6,6,2,2,2,3,1,3,3,4,1,2,2,4,1,2,3,4,1,4,1,1,5,2,5,4,5,5,1,5,5,5,0,1,0,30,2,4,3,1,42,4,,American,USA,Spanish,2,2,1,2,1,1,canada and Mexico,4,4,,2
5,,1,4,5,4,2,2,2,5,5,4,4,4,4,4,5,5,2,2,2,1,2,2,2,3,2,3,2,2,3,4,4,5,4,5,5,1,1,1,1,5,4,5,4,2,4,4,5,2,2,3,1,2,3,2,2,2,3,3,3,2,2,2,3,6,5,4,3,2,3,4,2,3,2,2,2,4,3,3,3,200,0,NA,NA,survey,4,4,4,2,4,4,3,3,4,4,4,3,3,3,3,4,4,4,3,2,4,3,4,2,2,2,2,5,2,3,4,4,4,2,2,3,3,4,3,3,3,3,2,2,2,1,3,3,3,4,5,5,4,3,4,4,4,5,5,4,4,4,3,5,4,4,5,4,3,4,4,4,2,2,4,3,3,2,2,5,5,5,2,3,3,4,2,3,3,3,2,2,4,4,1,2,4,4,3,2,2,4,2,3,5,4,4,3,4,4,6,0,1,0,35,1,4,3,2,26,9,,United States,United States,none,2,1,1,2,1,1,United States,4,6,,2
3,,1,4,4,4,5,5,5,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,12,123,22,11,survey,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,5,6,6,6,6,6,3,3,4,4,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,cooking,child,1,1,24,2,1,3,2,31,13,sd,indian,US,HINDI,1,2,3,3,3,2,AUSTRALIA,2,4,,1
3,,1,4,4,4,2,5,5,5,5,5,5,4,5,5,5,5,2,1,1,2,2,1,1,1,1,2,3,3,3,5,5,5,5,5,5,1,2,3,4,4,4,4,4,5,5,4,4,3,2,3,1,1,1,1,2,1,3,3,4,3,2,1,5,6,6,5,5,4,5,5,5,5,5,5,5,5,5,5,5,25,5,2,2,survey,4,4,5,1,1,1,1,1,1,4,5,4,4,4,4,4,4,4,1,2,3,1,1,1,4,3,1,5,3,3,3,3,3,3,2,2,3,3,4,3,2,2,2,2,1,1,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,3,2,5,5,4,6,4,2,1,2,1,1,2,2,1,2,1,1,7,7,3,4,3,4,3,4,3,4,3,4,4,4,3,4,3,4,3,5,1,1,5,1,5,4,5,5,1,5,5,12,0,2,0,45,2,3,1,1,18,3,,White,USA,English,1,2,1,90,3,2,Europe,4,5,,1
3,,1,5,5,5,3,3,2,5,5,5,5,4,4,4,4,4,2,2,2,2,1,1,1,1,1,1,1,1,1,4,5,5,4,5,5,1,3,2,2,5,5,5,5,2,5,5,5,2,1,1,2,2,2,3,2,2,2,2,5,2,2,2,4,5,5,4,3,4,5,5,5,4,4,5,5,5,5,5,5,"one per shift, hundreds in a year, different trip, different flight attendant per trip, ","we work together, so yes we are employees working together","many different ones, different co worker every week",none,survey,5,5,5,3,2,2,1,1,1,5,5,5,5,5,5,5,5,5,2,2,2,2,4,2,3,2,2,5,2,3,2,2,5,1,1,1,1,5,1,1,1,1,2,2,2,3,2,2,2,4,5,5,4,4,5,5,5,5,5,4,4,4,2,5,6,6,6,3,2,2,4,1,1,4,3,1,5,2,2,6,6,6,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,5,2,1,3,2,5,4,5,5,1,5,5,4,0,2,0,30,9,4,4,2,41,13,airline flight attendant,us,usa,none,3,9,1,30,0,1,"mexico, canada",1,6,assignment to work flight to the country asssgned to work flight returnng,2
4,,1,5,5,5,1,1,1,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,3,2,1,1,5,5,5,5,5,5,1,1,1,1,5,5,5,5,5,5,5,5,4,4,4,1,1,1,1,1,1,5,2,5,2,1,1,6,5,6,6,1,5,5,5,3,5,2,4,1,4,5,4,4,78,23,57,57,survey,5,4,3,3,4,4,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,3,4,4,4,3,4,5,4,5,5,5,5,4,5,4,4,4,4,3,4,3,4,3,5,3,5,3,4,4,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,5,2,4,2,2,4,2,5,2,28,0,1,0,60,2,1,3,2,22,7,,American,USA,Spanish,2,12,2,0,24,2,"spain, UK, France",14,5,,1
3,,1,5,5,5,1,1,1,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,3,2,2,1,5,5,5,5,5,5,1,1,1,1,1,1,1,1,3,5,4,5,1,1,1,1,1,1,1,1,1,1,5,5,5,1,3,6,4,4,6,1,5,5,5,5,5,5,5,5,5,5,5,5,50,25,2,6,survey,5,5,5,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,1,5,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,4,1,7,3,3,7,2,2,2,2,2,2,2,2,2,2,2,2,7,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,1,1,5,1,5,5,5,5,1,5,5,10,0,2,0,80,5,1,4,1,30,13,federal government,white,usa,hebrew,1,5,1,7,2,1,"england, spain",4,6,conflict resolutions,1
4,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,100,100,100,100,survey,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,40,2,3,3,2,28,8,,asian,virginia,english,1,3,3,3,3,2,usa,2,1,,1
5,,1,1,1,1,1,3,3,3,3,2,3,3,5,3,5,3,2,3,1,3,1,3,3,4,5,2,3,4,2,4,4,2,3,4,1,3,3,4,2,3,1,4,1,3,1,4,5,4,3,1,1,1,1,1,4,3,4,1,5,1,1,1,3,3,3,4,4,4,2,1,1,3,2,4,1,3,2,2,4,2,7,1,0,survey,5,5,5,5,4,5,4,5,5,4,3,4,3,4,4,5,3,5,2,2,2,2,2,2,1,3,2,5,2,3,3,1,3,2,2,3,1,3,1,3,5,2,5,5,5,5,4,3,5,4,3,4,2,4,5,3,2,4,2,1,3,5,3,2,6,1,7,3,6,2,3,3,3,6,2,3,1,6,5,4,6,6,4,5,1,3,3,2,1,2,1,3,1,3,3,4,1,3,5,2,1,5,1,5,3,3,1,2,3,5,0,0,2,1,50,5,1,1,2,20,9,,hispanic,usa,spanish,1,0,0,10,5,3,mexico,5,2,,1
5,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,5,1,1,1,1,5,5,5,5,5,5,5,5,5,5,2,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,51,51,5,20,survey,5,5,5,5,5,3,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,3,7,7,7,7,7,7,7,5,7,7,7,5,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,70,12,1,4,2,43,8,,white,united states ,none,1,6,22,3,2,2,china,7,2,,1
3,,1,5,5,4,5,4,4,5,5,5,4,5,5,5,5,5,2,1,2,1,3,1,1,1,1,1,4,1,1,5,5,5,4,5,5,2,1,3,2,5,4,4,4,4,4,5,4,3,2,2,1,1,1,1,1,1,1,1,5,1,1,1,1,5,5,6,6,4,4,5,5,5,5,5,5,5,4,4,5,10,2,1,2,survey,5,5,5,2,1,2,2,1,1,4,3,3,3,3,3,3,4,5,4,5,4,4,4,3,3,3,3,5,4,3,4,5,4,4,4,4,3,3,3,3,3,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,5,3,3,2,1,6,3,2,7,1,1,1,1,1,1,1,1,1,1,1,1,5,1,2,3,3,3,4,3,3,3,3,4,4,4,5,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,10,0,2,0,50,5,2,3,1,27,12,,African America,USA,none,1,4,1,3,2,2,England,3,1,,3
3,,1,5,5,5,1,2,2,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,2,2,2,2,5,4,5,4,5,5,1,2,2,2,1,1,1,1,1,5,4,4,1,1,1,2,2,2,2,2,2,3,4,4,1,1,1,6,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,15,8,4,5,survey,5,5,5,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,5,2,3,3,3,5,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,5,4,4,1,1,7,4,2,7,2,1,1,1,1,1,1,1,1,1,1,1,7,6,1,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,5,1,5,5,5,5,2,5,5,10,0,1,0,48,23,1,5,1,55,11,,USA,USA,none,1,9,1,30,5,2,Belize,3,4,,3
4,,1,4,4,5,5,2,2,4,5,4,5,5,3,4,5,4,4,4,4,3,3,3,2,2,2,2,3,2,2,2,4,2,2,4,4,2,1,2,2,3,4,3,3,4,3,3,4,3,3,4,2,1,1,2,2,3,4,4,4,3,3,2,5,5,5,5,5,4,3,5,4,4,3,4,3,3,3,4,5,10,8,4,3,survey,4,4,4,4,4,3,2,3,2,2,3,3,3,4,4,3,3,4,2,2,2,2,2,2,4,3,3,5,3,3,3,3,4,3,3,3,2,2,2,2,3,4,3,2,2,1,1,2,2,2,3,3,2,2,2,3,3,3,4,3,4,5,6,3,4,4,2,5,4,6,6,7,6,6,6,5,5,6,4,2,3,3,3,3,3,3,4,3,4,3,3,4,4,4,3,3,3,4,4,4,2,4,4,4,3,3,4,2,2,4,6,0,2,0,30,10,2,3,1,32,7,,african american,united states,none,1,5,1,3,2,1,united kingdom,5,3,,1
3,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,12,5,3,2,survey,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,4,1,3,30,3,4,2,2,27,8,,american,us,none,1,3,2,7,2,3,europe,3,1,,1
4,,1,5,5,5,5,5,5,5,4,3,4,5,5,4,5,4,5,5,5,3,2,3,4,5,4,5,4,5,5,5,4,3,2,1,3,4,5,5,4,5,4,4,5,4,4,5,3,2,3,4,5,4,3,4,5,5,4,4,3,4,5,5,6,5,6,5,6,5,4,3,4,5,5,4,3,4,5,5,4,10,5,1,1,survey,5,5,4,4,5,4,5,4,3,5,4,5,5,5,4,3,4,5,5,5,5,4,5,5,4,5,5,5,5,4,3,5,5,4,5,5,4,5,5,4,5,4,5,4,5,5,4,3,4,5,5,4,5,5,5,4,5,5,5,4,5,7,6,5,6,7,7,6,5,6,7,7,7,6,5,4,5,6,7,7,6,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,5,4,5,5,5,4,5,5,4,5,2,4,10,0,1,3,40,10,2,3,2,40,7,,American,US,None,1,7,1,15,3,2,Canada,5,2,,2
3,,1,4,5,5,3,3,3,5,5,4,5,5,5,5,4,5,2,1,3,1,1,1,1,1,1,2,5,4,4,5,5,5,4,5,4,1,1,1,1,5,5,5,5,4,5,5,5,1,1,1,1,1,1,2,1,1,2,5,5,4,4,5,5,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,7,5,2,2,survey,5,5,5,1,2,1,1,1,1,4,5,5,5,4,4,5,5,5,1,2,2,2,3,2,3,2,3,5,4,4,3,3,5,1,1,2,2,3,2,1,1,3,1,1,1,1,1,1,1,5,4,5,5,5,5,5,5,5,5,5,5,2,2,7,2,2,7,1,1,1,1,1,1,1,1,1,1,1,1,7,6,2,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,1,1,4,1,5,5,5,5,1,5,5,4,0,2,0,40,6,2,3,1,31,13,Healthcare,USA,Marion,Vietnamese,1,4,1,15,3,2,Japan,10,1,,1
5,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,5,5,3,3,5,5,5,5,5,4,5,5,5,5,5,5,5,5,6,5,3,6,6,5,5,5,5,5,5,5,5,5,5,5,5,10,5,1,1,survey,5,5,4,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,3,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,3,0,50,15,1,2,1,52,9,,US,US,NONE,1,1,1,5,3,3,iTALY,10,1,,1
3,,1,4,5,3,4,4,4,5,4,3,4,4,5,4,4,4,4,4,4,4,4,5,3,4,3,4,4,3,3,4,5,3,3,4,4,4,4,4,4,4,5,4,3,4,5,4,5,4,3,2,4,5,4,3,4,4,4,4,5,3,3,3,5,6,5,4,5,4,4,5,5,5,3,3,4,4,3,4,4,3,5,4,4,survey,4,4,5,4,4,5,5,4,4,4,4,5,3,3,4,4,5,5,4,4,5,4,3,4,3,3,4,5,4,4,5,3,3,4,4,4,4,5,4,3,2,4,4,3,4,5,4,3,4,4,5,3,3,4,4,5,4,3,3,4,4,6,5,7,4,5,5,6,6,5,7,7,6,5,5,6,5,6,7,6,6,6,4,3,4,4,3,4,4,4,4,5,4,3,3,4,4,5,4,5,4,3,3,4,4,3,5,5,4,4,7,1,3,1,35,14,2,3,1,39,13,education,american,US,spanish,1,7,2,7,8,2,"Spain, Italy,Argentina, somalia",10,1,,1
5,,1,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,5,4,4,4,4,5,5,5,5,5,5,4,4,4,5,4,4,4,4,4,4,4,4,5,5,5,4,5,5,5,5,5,5,4,4,4,4,5,5,5,5,6,5,4,4,4,4,5,4,4,4,4,4,5,4,20,10,10,3,survey,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,5,5,5,5,5,5,5,6,5,5,6,6,6,5,5,5,5,5,6,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,10,20,1,1,40,5,2,3,2,32,4,,american,usa,,1,3,2,7,1,2,China,10,1,,1
3,,1,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,4,4,3,1,2,1,3,3,3,3,3,3,4,4,4,3,3,3,3,4,2,3,3,3,3,3,3,4,4,3,3,4,4,3,3,4,4,4,3,3,3,3,4,4,4,4,4,5,5,5,3,4,3,3,3,4,4,4,3,3,3,3,10,3,1,0,survey,4,4,3,3,3,2,3,2,2,3,3,3,3,4,4,4,2,3,3,2,2,2,2,4,3,3,3,5,3,3,3,4,3,3,3,3,2,3,3,3,4,3,3,2,2,2,2,3,3,3,3,3,3,2,2,2,2,3,3,3,3,4,5,4,4,4,5,5,4,4,4,4,4,4,4,4,4,5,5,4,4,4,3,3,4,4,3,3,4,4,3,3,3,4,3,4,4,3,4,4,4,3,3,3,4,4,4,4,3,3,6,3,1,1,45,8,3,3,1,52,12,,american,usa,none,1,8,1,5,4,2,london,5,3,,1
5,,1,4,5,5,4,4,5,4,4,5,5,5,5,4,4,5,4,5,5,5,5,4,4,4,5,4,4,5,5,5,5,4,4,5,5,4,4,5,5,4,3,3,4,4,3,4,3,3,3,4,4,3,4,4,5,5,4,4,4,3,3,4,5,5,4,4,5,3,3,4,4,4,5,4,5,4,5,4,4,20,25,5,5,survey,4,4,5,4,4,3,3,4,4,3,3,4,4,4,5,5,5,4,4,4,5,5,5,4,4,5,5,5,4,4,5,5,4,4,4,5,4,4,5,4,4,5,4,4,3,3,4,4,3,3,3,4,4,4,4,5,4,4,4,5,5,3,3,5,5,5,5,3,3,3,3,2,2,2,2,2,2,2,2,5,5,3,3,4,4,4,4,4,5,5,4,4,5,5,5,4,5,5,4,4,5,5,5,5,4,4,4,4,5,4,20,10,2,0,31,20,2,3,1,30,7,,Indian,U.S.A.,"Hindi, Gujarati",1,3,1,5,7,2,England,10,3,,1
